 Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTg0MjgzODI1NTg3ODk0OjE2NzkzOTY1ODg6c3BfYXRmOjIwMTA3MTQwNzk2Nzk4OjowOjo&url=%2FTargus-12-5-15-6-Advanced-TSB96201GL-Backpack%2Fdp%2FB07JQJTRHY%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396588%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Targus 12.5-15.6"" Geolite Advanced TSB96201GL Backpack (Slate Grey)  ","2,448",4.4 out of 5 stars,156
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTg0MjgzODI1NTg3ODk0OjE2NzkzOTY1ODg6c3BfYXRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396588%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ","2,300",4.2 out of 5 stars,12
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)  ,"1,199",4.1 out of 5 stars,"52,288"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)  ,565,4.3 out of 5 stars,"9,794"
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-5,Skybags Brat Black 46 Cms Casual Backpack  ,659,4.1 out of 5 stars,"3,770"
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-6,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley  ,949,3.9 out of 5 stars,"6,297"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-7,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)  ,499,3.8 out of 5 stars,566
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-8,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 bags/roll (Pack of 6)  ",339,4.3 out of 5 stars,"30,116"
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-9,TRUE HUMAN® Emperor Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND)  ,699,3.7 out of 5 stars,"1,826"
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-10,Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop Compartment & Rain Cover (Navy_Blue)  ,689,3.9 out of 5 stars,"15,248"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTg0MjgzODI1NTg3ODk0OjE2NzkzOTY1ODg6c3BfbXRmOjIwMTIxNDg5NjM4NDk4OjowOjo&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396588%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack  ,528,5.0 out of 5 stars,2
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTg0MjgzODI1NTg3ODk0OjE2NzkzOTY1ODg6c3BfbXRmOjIwMTAwODU1MDk4NTk4OjowOjo&url=%2FFur-Jaden-resistant-Backpack-BM100_Brown%2Fdp%2FB07P5X6NSN%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396588%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students  ,889,4.2 out of 5 stars,"2,237"
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-13,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black  ,214,3.7 out of 5 stars,"6,056"
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-14,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black)  ,"1,131",4.3 out of 5 stars,"5,161"
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-15,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB)  ,299,4.0 out of 5 stars,"18,009"
https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-16,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment  ",839,4.2 out of 5 stars,"4,957"
https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-17,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L  ,510,3.8 out of 5 stars,85
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-18,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black  ",565,4.3 out of 5 stars,"9,794"
https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-19,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets  ,699,3.7 out of 5 stars,115
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679396588&sprefix=ba%2Caps%2C283&sr=8-20,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port  ,799,4.0 out of 5 stars,"10,754"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTg0MjgzODI1NTg3ODk0OjE2NzkzOTY1ODg6c3BfYnRmOjIwMDcyMzk1NTEyNzAyOjowOjo&url=%2FArtistix-Unisex-Travel-Backpack-Repellent%2Fdp%2FB09B5DMGM1%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396588%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black, 32 L)  ","1,989",4.5 out of 5 stars,663
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTg0MjgzODI1NTg3ODk0OjE2NzkzOTY1ODg6c3BfYnRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396588%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ","1,800",4.9 out of 5 stars,17
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4OTUyNzA0NDM4NjA6MTY3OTM5NjU5MTpzcF9hdGZfbmV4dDoyMDEyMTQ4OTYzODQ5ODo6MDo6&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396591%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack  ,528,5.0 out of 5 stars,2
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4OTUyNzA0NDM4NjA6MTY3OTM5NjU5MTpzcF9hdGZfbmV4dDoyMDExMjA5NjMxNzU5ODo6MDo6&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396591%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ","2,300",4.2 out of 5 stars,12
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-19,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER  ","1,299",4.1 out of 5 stars,8
https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QM2GD/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-20,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L  ,535,3.8 out of 5 stars,85
https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-21,DEIN KLEIDER Men's Nylon Messenger Bag  ,349,4.0 out of 5 stars,"4,564"
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-22,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown  ,"1,075",4.4 out of 5 stars,"5,454"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-23,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey)  ,599,4.0 out of 5 stars,31
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-24,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green)  ,599,4.0 out of 5 stars,31
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-25,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag  ,790,4.1 out of 5 stars,"1,044"
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-26,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping  ",799,3.9 out of 5 stars,"2,428"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4OTUyNzA0NDM4NjA6MTY3OTM5NjU5MTpzcF9tdGY6MjAxMTc3OTU4NzY5OTg6OjA6Og&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396591%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)  ","4,499",4.3 out of 5 stars,152
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjY4OTUyNzA0NDM4NjA6MTY3OTM5NjU5MTpzcF9tdGY6MjAxMjE5NzIyNjA0OTg6OjA6Og&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB07XG935R9%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679396591%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,"EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)  ","3,499",4.1 out of 5 stars,45
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-29,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black)  ,599,4.0 out of 5 stars,31
https://www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1679396591&sprefix=ba%2Caps%2C283&sr=8-30,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.  ","1,099",4.3 out of 5 stars,388
